SC2,SC3,SC4,B2b,H9New,H10,H11,H12,Z1,Z5,Z10,WEIGHT
5,1,4030,4,2,1,2.0,2.0,6,8,2,2.14
2,1,4000,4,4,1,,,5,7,1,5.59
2,1,4670,6,6,1,,,4,1,1,6.27
3,2,4879,3,6,2,,,6,3,2,0.63
3,2,4817,5,4,1,4.0,4.0,6,1,2,0.63
3,2,4680,3,3,1,4.0,4.0,6,5,2,0.63
3,2,4670,4,4,1,4.0,3.0,6,97,2,0.63
3,2,4650,5,4,1,3.0,3.0,6,6,2,0.63
3,2,4350,6,4,2,4.0,3.0,4,5,2,0.63
3,2,4304,3,3,1,3.0,3.0,6,1,2,0.63
3,2,4078,4,4,2,4.0,4.0,6,3,2,0.63
3,2,4560,4,4,1,3.0,4.0,2,3,1,0.66
3,2,4557,4,3,1,3.0,3.0,6,5,2,0.66
3,2,4207,3,4,1,4.0,4.0,6,4,2,0.66
3,2,4184,4,6,1,,,6,5,2,0.66
3,2,4122,4,4,1,4.0,3.0,6,3,1,0.66
3,2,4054,4,6,1,3.0,3.0,5,3,2,0.66
4,2,4870,3,4,1,,,6,2,2,0.67
4,2,4870,4,4,2,4.0,4.0,6,6,2,0.67
4,2,4818,6,6,1,,,6,6,2,0.67
4,2,4746,4,3,1,,,6,3,2,0.67
4,2,4740,3,3,1,,,6,3,2,0.67
4,2,4670,4,3,1,4.0,2.0,6,97,2,0.67
4,2,4670,3,3,1,,,5,3,2,0.67
4,2,4655,3,2,1,,,5,6,2,0.67
4,2,4350,4,4,1,4.0,3.0,3,4,2,0.67
4,2,4075,5,5,1,4.0,4.0,6,3,2,0.67
6,2,4870,4,5,1,4.0,3.0,6,8,2,0.69
6,2,4870,2,4,1,,,6,2,2,0.69
6,2,4870,6,3,1,,,5,8,2,0.69
6,2,4870,5,4,1,4.0,4.0,6,8,2,0.69
6,2,4870,4,5,1,4.0,4.0,6,8,2,0.69
6,2,4868,4,4,1,4.0,3.0,6,3,2,0.69
6,2,4860,3,3,1,3.0,3.0,5,97,2,0.69
6,2,4817,4,4,2,4.0,3.0,6,8,2,0.69
6,2,4817,3,3,1,,,6,7,2,0.69
6,2,4814,5,4,2,4.0,4.0,6,8,2,0.69
6,2,4812,4,4,1,4.0,4.0,6,8,2,0.69
6,2,4812,3,2,1,2.0,2.0,6,8,2,0.69
6,2,4811,3,4,1,4.0,4.0,6,3,2,0.69
6,2,4740,5,3,1,3.0,3.0,6,2,2,0.69
6,2,4740,4,4,1,4.0,3.0,6,8,2,0.69
6,2,4740,2,3,2,3.0,2.0,5,8,2,0.69
6,2,4740,4,3,1,4.0,3.0,6,8,2,0.69
6,2,4740,3,3,1,4.0,3.0,6,3,2,0.69
6,2,4740,3,3,1,,,6,3,2,0.69
6,2,4701,5,5,1,4.0,4.0,6,8,2,0.69
6,2,4700,4,3,1,4.0,4.0,6,8,2,0.69
6,2,4680,5,4,1,4.0,3.0,6,8,2,0.69
6,2,4680,4,4,1,4.0,4.0,6,8,2,0.69
6,2,4680,3,3,1,4.0,3.0,6,8,2,0.69
6,2,4671,4,4,1,4.0,4.0,6,8,2,0.69
6,2,4670,3,3,1,3.0,4.0,6,97,2,0.69
6,2,4670,4,4,1,4.0,4.0,6,7,2,0.69
6,2,4655,4,4,1,4.0,4.0,2,8,2,0.69
6,2,4655,4,4,1,4.0,4.0,6,8,2,0.69
6,2,4655,3,4,1,4.0,4.0,6,2,2,0.69
6,2,4655,4,3,2,3.0,3.0,4,7,2,0.69
6,2,4650,4,3,1,4.0,3.0,6,3,2,0.69
6,2,4570,5,5,1,5.0,5.0,6,8,2,0.69
6,2,4370,4,4,1,4.0,3.0,6,8,2,0.69
6,2,4361,4,4,1,4.0,4.0,6,8,2,0.69
6,2,4350,4,3,1,3.0,4.0,6,8,2,0.69
6,2,4350,1,2,1,2.0,2.0,5,2,2,0.69
6,2,4310,4,3,1,,,6,97,2,0.69
4,2,4560,3,3,1,3.0,4.0,6,3,2,0.75
4,2,4558,5,5,2,5.0,4.0,6,3,1,0.75
4,2,4558,5,3,2,4.0,5.0,6,3,2,0.75
4,2,4305,3,4,1,4.0,4.0,6,6,2,0.75
4,2,4285,1,1,1,1.0,1.0,6,97,2,0.75
4,2,4285,4,3,1,4.0,4.0,6,6,2,0.75
4,2,4275,4,3,1,3.0,5.0,6,5,2,0.75
4,2,4227,4,4,1,4.0,4.0,6,3,2,0.75
4,2,4220,4,3,1,3.0,3.0,6,6,2,0.75
4,2,4213,3,6,1,4.0,4.0,6,3,2,0.75
4,2,4211,3,3,1,3.0,3.0,6,7,2,0.75
4,2,4211,4,4,1,4.0,2.0,6,6,2,0.75
4,2,4209,4,4,1,,,2,3,2,0.75
4,2,4178,3,4,1,4.0,3.0,4,3,2,0.75
4,2,4178,3,3,1,3.0,2.0,6,2,2,0.75
4,2,4178,5,5,1,5.0,4.0,6,3,2,0.75
4,2,4170,2,1,2,1.0,1.0,6,3,2,0.75
4,2,4157,6,4,2,4.0,4.0,6,6,2,0.75
4,2,4132,4,3,1,3.0,2.0,6,1,2,0.75
4,2,4124,6,3,1,3.0,3.0,6,5,2,0.75
4,2,4124,2,3,1,3.0,3.0,6,8,2,0.75
4,2,4034,4,4,1,4.0,4.0,6,6,1,0.75
4,2,4032,5,5,1,4.0,2.0,6,1,2,0.75
2,2,4305,6,6,1,,,6,2,2,0.94
2,2,4213,3,3,1,3.0,3.0,3,1,1,0.94
2,2,4207,4,3,1,4.0,3.0,6,2,2,0.94
2,2,4165,3,2,2,3.0,3.0,4,1,2,0.94
7,2,4573,4,3,1,4.0,3.0,6,8,2,1.02
7,2,4573,4,4,1,3.0,3.0,3,8,2,1.02
7,2,4564,3,4,1,4.0,4.0,6,8,2,1.02
7,2,4556,5,6,1,3.0,4.0,6,8,2,1.02
7,2,4556,3,4,2,4.0,4.0,6,8,2,1.02
7,2,4556,6,6,1,3.0,3.0,6,8,2,1.02
7,2,4551,3,3,1,,,6,8,2,1.02
7,2,4551,1,1,1,1.0,2.0,6,8,2,1.02
7,2,4551,5,4,1,4.0,4.0,6,8,2,1.02
7,2,4514,5,4,1,4.0,4.0,6,3,2,1.02
7,2,4510,3,2,2,2.0,2.0,6,8,2,1.02
7,2,4510,3,4,1,,,6,8,2,1.02
7,2,4509,2,6,1,3.0,3.0,3,8,2,1.02
7,2,4504,4,5,1,5.0,5.0,6,8,2,1.02
7,2,4503,5,6,1,4.0,4.0,6,8,2,1.02
7,2,4306,2,4,1,4.0,4.0,6,8,2,1.02
7,2,4227,2,3,2,3.0,4.0,6,8,2,1.02
7,2,4226,4,3,1,,,6,8,2,1.02
7,2,4226,5,5,1,4.0,4.0,6,8,2,1.02
7,2,4226,4,4,1,4.0,4.0,6,8,2,1.02
7,2,4224,3,2,1,3.0,3.0,6,8,2,1.02
7,2,4220,5,4,1,4.0,4.0,6,8,2,1.02
7,2,4217,5,4,1,4.0,4.0,5,8,1,1.02
7,2,4215,6,5,1,4.0,4.0,6,8,2,1.02
7,2,4212,5,3,1,4.0,4.0,6,8,2,1.02
7,2,4211,4,4,1,4.0,4.0,6,8,1,1.02
7,2,4211,3,1,1,1.0,3.0,6,8,2,1.02
7,2,4209,3,4,1,,,6,8,2,1.02
7,2,4209,3,4,1,,,6,8,2,1.02
7,2,4209,5,4,2,4.0,3.0,6,8,2,1.02
7,2,4207,3,1,2,2.0,2.0,6,8,2,1.02
7,2,4207,2,2,1,3.0,2.0,6,8,2,1.02
7,2,4205,3,2,1,,,6,97,2,1.02
7,2,4173,4,4,1,,,6,8,2,1.02
7,2,4164,4,6,1,4.0,4.0,6,8,2,1.02
7,2,4163,4,4,1,4.0,4.0,6,8,2,1.02
7,2,4160,3,3,1,3.0,3.0,6,8,2,1.02
7,2,4157,3,3,1,,,6,8,2,1.02
7,2,4152,3,4,1,,,6,8,2,1.02
7,2,4127,3,4,1,,,6,8,2,1.02
7,2,4122,1,3,2,4.0,4.0,6,8,2,1.02
7,2,4115,3,3,1,,,6,8,2,1.02
7,2,4114,4,6,1,4.0,3.0,6,97,2,1.02
7,2,4114,4,6,1,,,6,8,2,1.02
7,2,4109,3,3,1,3.0,4.0,6,8,2,1.02
7,2,4109,5,4,1,4.0,4.0,6,8,2,1.02
7,2,4105,3,3,1,4.0,3.0,6,97,2,1.02
7,2,4104,1,1,2,1.0,1.0,6,8,2,1.02
7,2,4053,4,3,1,3.0,3.0,6,8,2,1.02
7,2,4034,4,4,1,,,6,8,2,1.02
7,2,4034,4,4,1,4.0,3.0,6,8,2,1.02
7,2,4034,5,2,1,4.0,3.0,6,7,2,1.02
7,2,4032,5,5,1,5.0,5.0,6,97,2,1.02
7,2,4021,5,4,1,,,6,8,2,1.02
7,2,4020,4,3,1,3.0,4.0,6,8,2,1.02
7,2,4020,4,3,1,4.0,3.0,6,8,2,1.02
7,2,4019,2,2,1,,,6,8,2,1.02
7,2,4018,4,4,1,4.0,4.0,6,8,2,1.02
7,2,4017,3,3,1,3.0,2.0,6,97,1,1.02
7,2,4007,3,4,1,4.0,4.0,6,8,2,1.02
7,2,4879,5,4,1,3.0,4.0,6,3,2,1.04
7,2,4879,6,3,1,3.0,3.0,5,8,2,1.04
7,2,4878,4,4,1,4.0,3.0,6,3,2,1.04
7,2,4877,4,4,1,,,6,8,2,1.04
7,2,4870,5,6,1,3.0,3.0,6,8,1,1.04
7,2,4870,4,3,1,4.0,3.0,6,3,1,1.04
7,2,4870,3,4,1,4.0,5.0,6,3,1,1.04
7,2,4870,4,4,1,4.0,4.0,6,8,2,1.04
7,2,4870,4,4,1,4.0,4.0,6,8,2,1.04
7,2,4860,5,3,1,4.0,4.0,6,8,2,1.04
7,2,4818,4,3,1,3.0,4.0,5,3,1,1.04
7,2,4815,4,3,1,4.0,4.0,6,8,2,1.04
7,2,4810,5,2,1,,,6,8,2,1.04
7,2,4805,5,5,1,5.0,5.0,6,8,2,1.04
7,2,4740,2,2,1,,,6,8,2,1.04
7,2,4702,2,3,1,,,6,8,2,1.04
7,2,4701,3,4,1,4.0,4.0,6,7,1,1.04
7,2,4680,4,4,1,4.0,3.0,2,8,2,1.04
7,2,4680,4,4,1,5.0,3.0,2,8,2,1.04
7,2,4680,3,3,1,3.0,2.0,6,8,2,1.04
7,2,4670,4,4,1,,,6,3,2,1.04
7,2,4670,3,3,1,3.0,3.0,5,8,2,1.04
7,2,4655,4,5,1,4.0,4.0,6,8,2,1.04
7,2,4655,2,4,1,2.0,2.0,6,8,2,1.04
7,2,4650,3,6,1,,,6,8,2,1.04
7,2,4615,5,4,1,4.0,4.0,6,8,2,1.04
7,2,4580,3,3,1,3.0,3.0,6,8,1,1.04
7,2,4580,5,3,1,,,6,8,2,1.04
7,2,4570,3,4,1,3.0,3.0,6,2,2,1.04
7,2,4570,6,4,1,4.0,3.0,6,8,2,1.04
7,2,4570,2,2,1,1.0,1.0,6,8,2,1.04
7,2,4352,1,3,1,2.0,2.0,6,8,2,1.04
7,2,4350,5,5,1,5.0,5.0,6,8,2,1.04
7,2,4343,5,4,1,4.0,4.0,6,7,2,1.04
7,2,4343,5,4,1,4.0,4.0,6,7,2,1.04
7,2,4304,4,2,1,,,6,6,2,1.04
5,2,4870,2,3,1,3.0,3.0,4,6,1,1.12
5,2,4870,4,4,1,4.0,4.0,5,3,1,1.12
5,2,4870,6,1,1,,,4,8,2,1.12
5,2,4870,5,4,1,4.0,4.0,5,2,2,1.12
5,2,4818,3,4,1,4.0,4.0,6,7,2,1.12
5,2,4814,3,3,1,3.0,3.0,6,7,2,1.12
5,2,4812,5,4,2,5.0,5.0,2,7,2,1.12
5,2,4810,2,1,1,2.0,1.0,3,6,2,1.12
5,2,4703,3,3,1,3.0,3.0,6,8,2,1.12
5,2,4700,5,4,2,4.0,4.0,6,7,2,1.12
5,2,4680,5,5,2,5.0,5.0,4,7,2,1.12
5,2,4670,2,3,1,,,6,8,1,1.12
5,2,4670,3,6,1,4.0,4.0,6,3,2,1.12
5,2,4670,4,3,2,3.0,3.0,6,7,2,1.12
5,2,4670,3,4,1,4.0,3.0,5,5,2,1.12
5,2,4660,4,4,1,4.0,3.0,6,3,2,1.12
5,2,4655,4,4,1,4.0,4.0,4,3,1,1.12
5,2,4655,2,3,2,3.0,2.0,6,6,1,1.12
5,2,4655,6,3,1,,,6,8,2,1.12
5,2,4655,4,4,1,4.0,5.0,6,7,2,1.12
5,2,4655,6,2,1,,,3,6,2,1.12
5,2,4570,3,3,1,3.0,3.0,4,3,2,1.12
5,2,4570,3,3,1,,,6,3,2,1.12
5,2,4350,4,6,1,4.0,4.0,6,8,2,1.12
5,2,4300,3,6,1,3.0,3.0,6,7,2,1.12
6,2,4512,6,3,1,,,6,8,2,1.26
6,2,4510,3,3,1,3.0,3.0,6,8,2,1.26
6,2,4508,3,6,2,3.0,3.0,6,8,2,1.26
6,2,4506,5,4,1,,,6,8,2,1.26
6,2,4500,5,4,2,4.0,4.0,6,3,2,1.26
6,2,4305,4,3,2,4.0,4.0,6,7,2,1.26
6,2,4227,6,4,1,,,6,3,2,1.26
6,2,4220,4,4,1,4.0,4.0,6,8,2,1.26
6,2,4217,4,6,1,3.0,3.0,6,7,2,1.26
6,2,4216,4,2,1,2.0,2.0,3,8,2,1.26
6,2,4209,4,4,1,4.0,4.0,6,8,2,1.26
6,2,4207,3,3,1,3.0,3.0,6,8,2,1.26
6,2,4207,4,5,1,4.0,3.0,6,8,2,1.26
6,2,4178,5,5,1,,,6,8,2,1.26
6,2,4178,6,2,1,2.0,1.0,6,8,2,1.26
6,2,4165,2,4,1,4.0,4.0,2,8,2,1.26
6,2,4159,4,4,1,4.0,4.0,6,8,2,1.26
6,2,4157,5,3,2,4.0,4.0,4,7,2,1.26
6,2,4152,2,2,1,4.0,4.0,6,8,2,1.26
6,2,4133,4,4,1,4.0,3.0,6,8,2,1.26
6,2,4132,4,4,1,4.0,4.0,5,8,2,1.26
6,2,4125,4,4,1,4.0,4.0,6,97,2,1.26
6,2,4124,6,3,1,3.0,5.0,6,8,2,1.26
6,2,4123,4,4,2,4.0,4.0,6,3,2,1.26
6,2,4120,4,3,1,4.0,2.0,6,8,2,1.26
6,2,4074,4,3,1,2.0,1.0,6,7,2,1.26
6,2,4053,4,5,1,5.0,4.0,6,7,2,1.26
6,2,4035,4,3,1,,,6,3,2,1.26
6,2,4014,4,4,1,4.0,5.0,6,8,2,1.26
6,2,4005,3,3,1,,,6,8,2,1.26
6,2,4000,3,4,1,,,6,7,2,1.26
5,2,4506,2,3,2,3.0,2.0,6,3,2,2.31
5,2,4504,5,4,1,4.0,4.0,6,3,2,2.31
5,2,4503,3,4,1,,,6,7,2,2.31
5,2,4306,2,3,1,3.0,3.0,4,7,2,2.31
5,2,4226,3,2,1,2.0,2.0,6,3,2,2.31
5,2,4223,4,4,1,3.0,3.0,6,7,2,2.31
5,2,4217,3,2,1,2.0,2.0,2,8,2,2.31
5,2,4210,2,4,1,4.0,4.0,5,7,2,2.31
5,2,4207,4,3,1,,,6,7,2,2.31
5,2,4151,3,3,1,3.0,3.0,6,8,2,2.31
5,2,4127,6,4,1,,,6,97,2,2.31
5,2,4114,3,5,1,5.0,4.0,6,7,2,2.31
5,2,4105,4,5,1,3.0,4.0,6,3,2,2.31
5,2,4053,3,3,1,3.0,3.0,6,8,2,2.31
5,2,4012,5,5,1,4.0,4.0,6,2,2,2.31
7,1,4873,5,5,1,4.0,3.0,1,8,2,0.54
7,1,4870,2,2,1,3.0,2.0,6,8,2,0.54
7,1,4870,5,4,1,4.0,3.0,6,3,2,0.54
7,1,4817,3,5,1,4.0,3.0,6,3,2,0.54
7,1,4814,3,3,1,3.0,3.0,6,8,2,0.54
7,1,4814,3,3,1,4.0,2.0,6,8,2,0.54
7,1,4740,4,3,2,4.0,4.0,6,8,2,0.54
7,1,4701,5,5,1,5.0,5.0,6,8,2,0.54
7,1,4650,4,3,1,4.0,4.0,6,8,2,0.54
7,1,4650,4,4,2,2.0,2.0,5,8,2,0.54
7,1,4570,4,3,1,4.0,3.0,6,8,2,0.54
7,1,4341,4,4,1,4.0,4.0,6,3,2,0.54
6,1,4879,3,3,1,3.0,3.0,2,8,2,0.67
6,1,4870,3,4,1,4.0,3.0,6,8,2,0.67
6,1,4870,4,4,1,4.0,2.0,6,6,2,0.67
6,1,4869,4,4,1,4.0,4.0,6,8,2,0.67
6,1,4869,5,5,1,4.0,4.0,6,3,2,0.67
6,1,4810,4,4,2,,,6,8,2,0.67
6,1,4700,4,2,1,2.0,3.0,3,97,1,0.67
6,1,4700,1,1,1,1.0,1.0,5,8,2,0.67
6,1,4680,5,5,1,4.0,3.0,1,1,2,0.67
6,1,4680,5,5,1,5.0,5.0,4,2,2,0.67
6,1,4670,4,4,1,4.0,4.0,5,8,2,0.67
6,1,4670,5,5,1,4.0,4.0,6,3,2,0.67
6,1,4655,3,2,1,2.0,2.0,6,3,2,0.67
6,1,4580,4,4,1,4.0,3.0,6,7,2,0.67
6,1,4570,4,4,1,4.0,3.0,6,3,2,0.67
6,1,4352,4,4,1,4.0,4.0,6,5,2,0.67
6,1,4350,3,2,1,3.0,2.0,6,3,2,0.67
6,1,4077,4,3,1,,,6,2,2,0.67
7,1,4509,5,4,1,4.0,4.0,4,8,2,0.71
7,1,4507,2,3,1,2.0,2.0,6,8,2,0.71
7,1,4500,3,3,1,3.0,2.0,6,8,2,0.71
7,1,4216,5,3,1,4.0,3.0,6,1,2,0.71
7,1,4215,5,5,1,4.0,4.0,3,8,2,0.71
7,1,4215,4,4,1,3.0,3.0,6,8,2,0.71
7,1,4179,1,2,1,2.0,2.0,6,1,2,0.71
7,1,4152,4,4,1,4.0,3.0,4,7,1,0.71
7,1,4124,5,4,1,,,6,8,2,0.71
7,1,4116,4,4,1,4.0,2.0,6,8,2,0.71
6,1,4551,4,3,1,3.0,4.0,6,8,2,0.96
6,1,4510,4,3,1,4.0,4.0,6,7,2,0.96
6,1,4509,3,3,1,4.0,4.0,6,8,2,0.96
6,1,4501,5,5,1,5.0,5.0,6,3,2,0.96
6,1,4280,3,3,1,4.0,3.0,6,2,2,0.96
6,1,4227,4,4,1,4.0,4.0,6,7,2,0.96
6,1,4217,4,4,1,,,4,8,2,0.96
6,1,4214,4,6,1,4.0,3.0,6,8,1,0.96
6,1,4178,4,5,1,4.0,4.0,3,3,1,0.96
6,1,4178,4,4,1,4.0,4.0,6,3,2,0.96
6,1,4169,5,4,1,4.0,4.0,6,8,2,0.96
6,1,4157,4,3,1,4.0,2.0,6,7,2,0.96
6,1,4109,2,3,1,2.0,4.0,6,8,2,0.96
6,1,4101,5,5,1,5.0,5.0,6,3,1,0.96
6,1,4064,3,3,2,3.0,3.0,3,2,2,0.96
6,1,4059,4,4,1,4.0,3.0,1,8,2,0.96
6,1,4051,5,4,1,4.0,4.0,6,6,2,0.96
6,1,4034,5,5,1,4.0,4.0,3,3,2,0.96
6,1,4020,4,5,1,4.0,4.0,6,3,1,0.96
4,1,4567,4,4,1,4.0,3.0,6,1,2,0.99
4,1,4557,2,4,2,3.0,2.0,3,5,2,0.99
4,1,4556,4,3,1,4.0,3.0,6,1,2,0.99
4,1,4510,3,5,1,4.0,4.0,3,1,1,0.99
4,1,4509,4,4,1,4.0,4.0,6,6,2,0.99
4,1,4508,2,6,1,5.0,5.0,6,4,2,0.99
4,1,4500,2,3,1,3.0,4.0,3,7,2,0.99
4,1,4500,2,3,1,3.0,3.0,4,3,2,0.99
4,1,4305,4,5,1,5.0,1.0,6,5,1,0.99
4,1,4305,5,5,1,4.0,1.0,6,4,1,0.99
4,1,4305,4,5,1,5.0,1.0,6,4,1,0.99
4,1,4305,5,5,1,4.0,1.0,6,4,1,0.99
4,1,4305,4,4,1,4.0,1.0,6,4,1,0.99
4,1,4305,5,5,1,4.0,1.0,6,4,1,0.99
4,1,4227,4,4,1,4.0,4.0,6,5,2,0.99
4,1,4217,5,2,1,4.0,4.0,6,5,1,0.99
4,1,4217,2,1,1,1.0,1.0,1,3,2,0.99
4,1,4215,5,4,1,4.0,4.0,5,6,1,0.99
4,1,4210,4,5,1,4.0,3.0,6,2,2,0.99
4,1,4208,4,4,1,4.0,4.0,6,6,2,0.99
4,1,4207,4,4,1,4.0,3.0,6,4,2,0.99
4,1,4172,3,4,2,4.0,3.0,6,2,2,0.99
4,1,4170,3,4,1,4.0,3.0,5,3,2,0.99
4,1,4160,5,4,1,4.0,4.0,6,6,2,0.99
4,1,4160,3,4,1,4.0,3.0,6,4,2,0.99
4,1,4158,3,3,1,4.0,4.0,5,4,2,0.99
4,1,4153,4,4,1,4.0,4.0,5,5,2,0.99
4,1,4152,3,4,1,3.0,3.0,6,5,2,0.99
4,1,4152,4,4,1,3.0,3.0,6,5,2,0.99
4,1,4127,3,4,1,3.0,3.0,3,6,1,0.99
4,1,4122,3,4,2,3.0,3.0,6,1,1,0.99
4,1,4119,4,4,1,5.0,1.0,6,4,1,0.99
4,1,4118,5,3,1,3.0,4.0,3,4,1,0.99
4,1,4118,4,5,1,4.0,4.0,6,6,2,0.99
4,1,4118,3,4,1,4.0,4.0,6,5,2,0.99
4,1,4118,3,3,1,3.0,3.0,6,6,2,0.99
4,1,4113,3,6,1,3.0,3.0,6,3,1,0.99
4,1,4113,5,5,1,4.0,1.0,6,4,1,0.99
4,1,4113,1,3,1,3.0,4.0,6,3,1,0.99
4,1,4113,4,4,1,4.0,3.0,6,6,2,0.99
4,1,4110,5,5,1,4.0,1.0,6,4,1,0.99
4,1,4109,4,4,1,4.0,4.0,3,3,2,0.99
4,1,4101,5,5,1,4.0,1.0,6,4,1,0.99
4,1,4101,5,5,1,4.0,1.0,6,4,1,0.99
4,1,4074,2,1,2,1.0,5.0,3,5,1,0.99
4,1,4074,5,3,1,4.0,4.0,5,1,2,0.99
4,1,4068,3,6,1,3.0,2.0,4,1,2,0.99
4,1,4066,4,4,1,4.0,4.0,4,5,2,0.99
4,1,4059,3,4,2,3.0,3.0,5,3,1,0.99
4,1,4054,2,1,1,1.0,4.0,5,5,1,0.99
4,1,4053,3,4,1,3.0,3.0,6,2,1,0.99
4,1,4034,3,3,1,3.0,3.0,6,4,2,0.99
4,1,4031,5,5,1,4.0,4.0,6,8,2,0.99
4,1,4030,4,4,1,4.0,2.0,4,2,1,0.99
4,1,4019,4,3,1,4.0,3.0,6,3,2,0.99
4,1,4018,4,4,1,4.0,4.0,1,5,1,0.99
4,1,4017,4,4,1,4.0,4.0,6,8,2,0.99
4,1,4006,3,4,1,4.0,3.0,6,3,2,0.99
4,1,4000,5,5,1,4.0,1.0,6,4,1,0.99
4,1,4879,4,4,1,3.0,3.0,3,6,2,1.0
4,1,4877,4,4,1,4.0,4.0,6,3,2,1.0
4,1,4872,4,5,1,4.0,2.0,6,5,2,1.0
4,1,4870,3,5,1,4.0,3.0,3,8,2,1.0
4,1,4870,1,3,1,4.0,3.0,6,2,2,1.0
4,1,4868,2,3,1,4.0,4.0,6,6,2,1.0
4,1,4860,4,4,1,4.0,4.0,6,5,2,1.0
4,1,4817,4,4,2,4.0,3.0,6,3,2,1.0
4,1,4815,5,4,1,4.0,3.0,6,5,1,1.0
4,1,4810,4,3,1,4.0,4.0,6,6,2,1.0
4,1,4805,6,5,1,3.0,3.0,3,3,1,1.0
4,1,4802,5,4,1,3.0,4.0,6,4,1,1.0
4,1,4802,4,5,1,4.0,1.0,6,4,1,1.0
4,1,4701,3,4,2,4.0,4.0,6,5,2,1.0
4,1,4680,3,3,1,3.0,3.0,6,8,2,1.0
4,1,4680,3,3,1,3.0,3.0,6,8,2,1.0
4,1,4680,3,3,1,3.0,3.0,6,8,2,1.0
4,1,4680,2,2,1,2.0,2.0,6,1,2,1.0
4,1,4680,3,4,1,4.0,4.0,4,6,2,1.0
4,1,4655,4,4,1,4.0,3.0,4,5,2,1.0
4,1,4570,3,4,1,5.0,4.0,6,2,2,1.0
4,1,4402,4,4,1,4.0,1.0,6,4,1,1.0
4,1,4350,4,4,1,4.0,3.0,4,97,1,1.0
4,1,4350,2,3,1,2.0,2.0,6,6,2,1.0
4,1,4304,4,4,1,3.0,3.0,6,5,2,1.0
4,1,4304,3,2,1,2.0,2.0,6,2,2,1.0
4,1,4304,3,3,1,4.0,3.0,6,5,2,1.0
4,1,4301,2,4,1,,,6,2,2,1.0
3,1,4560,2,2,1,2.0,2.0,3,5,2,1.38
3,1,4506,4,4,1,,,6,7,2,1.38
3,1,4503,2,2,1,2.0,2.0,5,5,2,1.38
3,1,4502,4,5,2,4.0,2.0,3,1,2,1.38
3,1,4305,6,3,1,3.0,3.0,6,5,2,1.38
3,1,4218,5,5,1,4.0,4.0,4,3,2,1.38
3,1,4217,5,5,1,4.0,1.0,6,5,1,1.38
3,1,4217,5,4,1,4.0,3.0,6,5,2,1.38
3,1,4212,4,5,1,4.0,3.0,6,1,2,1.38
3,1,4211,5,4,1,4.0,2.0,6,1,2,1.38
3,1,4211,4,4,2,4.0,4.0,6,1,2,1.38
3,1,4211,3,2,1,4.0,4.0,6,2,2,1.38
3,1,4179,4,4,2,,,6,1,2,1.38
3,1,4179,4,4,1,4.0,4.0,6,3,2,1.38
3,1,4178,4,5,1,4.0,4.0,3,5,2,1.38
3,1,4173,4,6,1,,,6,5,2,1.38
3,1,4164,6,6,2,3.0,3.0,6,2,2,1.38
3,1,4156,3,4,1,3.0,2.0,4,3,2,1.38
3,1,4128,4,4,1,4.0,4.0,2,8,2,1.38
3,1,4123,3,3,1,,,6,2,2,1.38
3,1,4122,4,4,1,3.0,3.0,6,1,1,1.38
3,1,4116,2,4,1,3.0,2.0,5,2,2,1.38
3,1,4114,4,3,2,4.0,4.0,6,7,2,1.38
3,1,4113,4,5,1,4.0,4.0,6,4,2,1.38
3,1,4113,4,4,1,3.0,2.0,6,97,2,1.38
3,1,4109,3,3,1,,,6,7,2,1.38
3,1,4109,3,4,2,4.0,4.0,3,1,2,1.38
3,1,4107,4,4,1,3.0,4.0,2,2,1,1.38
3,1,4105,4,4,1,4.0,4.0,6,1,2,1.38
3,1,4105,5,3,2,2.0,4.0,3,5,2,1.38
3,1,4104,4,5,1,2.0,3.0,2,4,2,1.38
3,1,4101,4,5,1,4.0,4.0,5,3,2,1.38
3,1,4074,2,3,1,3.0,2.0,6,3,2,1.38
3,1,4069,3,3,1,4.0,3.0,5,3,2,1.38
3,1,4068,3,2,1,4.0,4.0,6,3,2,1.38
3,1,4067,1,2,1,2.0,2.0,6,3,2,1.38
3,1,4064,1,2,1,2.0,2.0,6,3,2,1.38
3,1,4055,4,4,1,4.0,3.0,3,5,2,1.38
3,1,4055,4,4,1,4.0,3.0,3,5,2,1.38
3,1,4053,4,4,2,4.0,3.0,6,1,2,1.38
3,1,4053,4,4,1,3.0,2.0,3,3,2,1.38
3,1,4032,3,2,2,2.0,4.0,6,97,2,1.38
3,1,4010,3,4,1,2.0,3.0,4,6,2,1.38
3,1,4007,5,5,1,5.0,5.0,6,3,1,1.38
3,1,4000,4,4,1,4.0,2.0,3,4,1,1.38
3,1,4000,5,3,2,2.0,4.0,3,4,1,1.38
3,1,4000,5,5,1,5.0,5.0,2,3,2,1.38
3,1,4000,5,5,2,4.0,3.0,2,4,2,1.38
3,1,4878,4,4,1,3.0,3.0,4,3,2,1.56
3,1,4870,3,5,2,4.0,4.0,4,3,2,1.56
3,1,4870,5,4,2,4.0,4.0,4,3,2,1.56
3,1,4870,4,1,1,3.0,3.0,4,3,2,1.56
3,1,4865,4,4,2,4.0,2.0,6,1,2,1.56
3,1,4814,4,4,1,4.0,3.0,1,3,1,1.56
3,1,4814,4,4,1,4.0,4.0,6,7,2,1.56
3,1,4814,4,4,1,,,6,3,2,1.56
3,1,4810,4,4,1,4.0,3.0,3,2,1,1.56
