SC2,SC3,SC4,B2b,E1_1,E1_2,E1_3,E1_4,E1_5,E1_6,E1_7,E1_8,E1_9,E1_10,E1_11,E1_12,E1_13,E1_14,E1_15,E1_16,E1_15_TEXT,E2,E3,E3_TEXT,E8,E8a,E7,H1,H3_1,H3_2,H3_3,H3_4,H3_5,H3_6,H3_7,H7_1,H7_2,H7_3,H7_4,H7_5,H7_5_TEXT,H8,H9New,H10,H11,H12,Z1,Z5,Z5_TEXT,Z10,WEIGHT
6,1,4051,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,5,,1,,4,2,0,0,0,0,1,0,0,0,0,0,0,0,,2,4,2,4,4,6,6,,2,0.96
4,1,4558,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,,1,,3,2,1,0,1,0,0,0,0,0,1,0,1,0,,1,4,1,4,3,6,1,,2,0.99
4,1,4551,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,,,,,,2,0,0,0,0,0,0,1,0,0,0,0,0,,99,6,1,,,1,2,,2,0.99
4,1,4306,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,,2,1,3,99,0,1,0,0,1,0,0,0,0,0,0,0,,1,3,2,3,3,6,5,,2,0.99
4,1,4221,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,,,,,,2,0,0,0,0,0,0,1,0,0,0,0,0,,2,6,1,,,6,1,,2,0.99
4,1,4215,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,,2,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,,1,3,1,3,3,2,3,,2,0.99
4,1,4118,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,4,,1,,3,2,0,0,0,0,0,0,1,0,0,0,0,0,,2,3,1,3,2,6,2,,2,0.99
4,1,4074,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,,1,,3,1,0,0,0,0,0,0,1,0,0,0,1,0,,1,3,2,3,3,4,7,,2,0.99
4,1,4060,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,8,2,,2,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,,1,2,1,2,2,5,3,,2,0.99
4,1,4059,5,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,,1,1,,1,,5,1,0,0,0,0,1,0,0,1,1,1,1,0,,1,5,1,5,1,2,1,,1,0.99
4,1,4059,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,,,,,,99,0,0,0,0,0,0,1,0,0,0,0,0,,99,6,2,,,2,3,,2,0.99
4,1,4059,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,5,,2,1,5,2,0,0,0,1,0,0,0,0,0,0,0,0,,1,6,1,5,5,2,3,,2,0.99
4,1,4034,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,,,,,,2,0,0,0,0,0,1,0,0,0,0,0,0,,2,6,2,,,6,1,,2,0.99
4,1,4034,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,,,,,,2,0,0,0,0,0,0,1,0,0,0,0,0,,2,3,2,,,6,1,,2,0.99
4,1,4879,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,3,,1,,4,2,0,0,0,1,1,0,0,0,0,0,0,0,,1,3,1,3,3,4,3,,2,1.00
4,1,4818,3,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,,1,5,,1,,3,2,1,1,1,1,1,1,0,0,1,0,0,0,,1,3,1,3,3,1,6,,2,1.00
4,1,4750,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,,,,,,99,0,0,0,0,0,0,1,0,0,0,0,0,,99,3,2,,,1,3,,2,1.00
