SC2,SC3,SC4,Z1,Z5,Z10
7,1,4304,6,8,2
7,1,4301,6,8,2
7,1,4301,6,8,2
7,1,4301,6,8,2
7,1,4300,6,8,2
7,1,4300,6,8,2
7,1,4300,6,8,2
6,1,4880,6,8,2
6,1,4878,6,3,1
6,1,4870,6,8,2
6,1,4870,6,3,2
6,1,4870,6,8,2
6,1,4869,6,8,2
6,1,4817,6,7,2
6,1,4817,6,8,2
6,1,4814,6,8,2
6,1,4814,6,6,2
6,1,4810,6,8,2
6,1,4809,4,8,2
6,1,4800,6,7,2
6,1,4754,6,7,2
6,1,4718,6,8,2
6,1,4703,6,7,2
6,1,4680,6,8,2
6,1,4670,6,3,2
6,1,4670,6,8,2
6,1,4670,6,8,2
6,1,4670,6,8,2
6,1,4655,6,3,2
6,1,4655,5,8,2
6,1,4655,6,7,2
6,1,4655,5,8,2
6,1,4650,6,8,2
6,1,4650,5,8,2
6,1,4650,4,3,2
6,1,4615,5,3,2
6,1,4570,4,3,2
6,1,4356,6,3,2
6,1,4350,6,3,2
6,1,4350,6,8,2
6,1,4350,5,7,2
6,1,4301,6,8,2
6,1,4078,6,9,2
7,1,4573,6,8,1
7,1,4562,5,8,2
7,1,4560,6,8,2
7,1,4557,6,8,2
7,1,4556,6,2,2
7,1,4551,6,8,2
7,1,4551,6,8,2
7,1,4551,3,8,2
7,1,4551,6,8,2
7,1,4521,6,3,2
7,1,4510,6,9,2
7,1,4510,2,8,2
7,1,4508,6,8,2
7,1,4507,6,8,2
7,1,4507,6,8,2
7,1,4506,3,9,1
7,1,4505,6,3,2
7,1,4504,6,3,2
7,1,4503,6,8,1
7,1,4503,6,8,2
7,1,4502,6,3,2
7,1,4501,6,8,2
7,1,4500,6,7,1
7,1,4306,6,8,2
7,1,4305,6,8,2
7,1,4285,6,8,2
7,1,4226,4,8,1
7,1,4225,6,8,2
7,1,4220,6,8,2
7,1,4220,6,9,2
7,1,4218,6,8,2
7,1,4216,6,8,1
7,1,4215,6,3,2
7,1,4213,6,8,2
7,1,4212,3,8,1
7,1,4212,6,3,2
7,1,4211,6,9,2
7,1,4208,6,8,1
7,1,4207,6,3,1
7,1,4207,6,8,2
7,1,4207,6,3,2
7,1,4207,6,8,2
7,1,4207,6,8,2
7,1,4184,6,8,2
7,1,4164,6,8,2
7,1,4160,6,8,2
7,1,4152,6,8,2
7,1,4131,6,8,2
7,1,4118,6,8,2
7,1,4118,6,8,2
7,1,4118,6,8,2
7,1,4116,6,8,1
7,1,4114,6,8,2
7,1,4109,6,3,2
7,1,4107,6,8,2
7,1,4106,6,3,2
7,1,4105,6,1,2
7,1,4074,6,8,2
7,1,4074,6,8,2
7,1,4074,6,9,2
7,1,4069,6,3,2
7,1,4068,6,8,2
7,1,4066,6,3,2
7,1,4061,6,3,2
7,1,4055,6,7,2
7,1,4053,6,8,2
7,1,4053,6,3,2
7,1,4053,6,3,2
7,1,4037,6,8,2
7,1,4035,6,8,1
7,1,4034,6,8,1
7,1,4034,6,8,2
7,1,4031,6,9,2
7,1,4018,6,8,2
7,1,4017,3,8,2
7,1,4017,6,8,2
7,1,4007,6,8,2
7,1,4006,6,8,2
6,1,4567,6,8,1
6,1,4563,6,7,2
6,1,4510,6,8,2
6,1,4510,6,7,2
6,1,4509,6,8,2
6,1,4508,6,8,2
6,1,4501,6,3,2
6,1,4500,6,8,2
6,1,4500,6,7,2
6,1,4500,6,2,2
6,1,4306,6,5,2
6,1,4305,4,1,2
6,1,4280,6,8,2
6,1,4209,6,8,2
6,1,4178,6,3,1
6,1,4169,5,8,2
6,1,4164,6,3,2
6,1,4163,6,3,2
6,1,4152,6,8,2
6,1,4127,6,8,1
6,1,4127,4,3,2
6,1,4125,6,8,2
6,1,4119,6,8,2
6,1,4104,6,2,2
6,1,4055,6,8,2
6,1,4032,6,8,2
6,1,4020,4,8,2
6,1,4020,6,8,2
6,1,4019,6,8,2
6,1,4019,6,8,2
6,1,4018,6,8,2
6,1,4017,6,7,2
6,1,4014,6,7,2
6,1,4014,6,8,2
6,1,4013,6,7,2
6,1,4000,4,8,2
4,1,4285,5,5,2
4,1,4216,6,6,2
4,1,4209,6,6,2
4,1,4173,6,3,2
4,1,4170,6,6,2
4,1,4170,5,5,2
4,1,4132,6,3,1
4,1,4122,5,1,2
4,1,4006,6,1,2
4,1,4005,4,2,2
4,1,4005,5,2,2
4,1,4000,3,6,1
4,1,4877,3,6,2
4,1,4870,3,2,2
4,1,4869,3,3,2
4,1,4817,5,6,2
4,1,4812,6,3,2
4,1,4810,6,8,2
4,1,4703,6,9,2
4,1,4702,5,4,2
4,1,4680,6,6,2
4,1,4350,6,3,2
4,1,4350,6,3,2
3,1,4209,6,1,2
3,1,4163,6,5,2
3,1,4132,6,2,2
3,1,4035,6,1,2
3,1,4020,6,4,2
3,1,4670,6,1,2
3,1,4610,6,1,2
5,1,4870,2,3,2
5,1,4870,6,3,2
5,1,4814,6,3,2
5,1,4740,6,8,2
5,1,4701,6,3,2
5,1,4680,6,6,2
5,1,4680,5,3,2
5,1,4670,6,3,2
5,1,4655,6,6,2
5,1,4655,6,9,2
5,1,4304,6,5,2
5,1,4301,6,6,2
5,1,4075,6,8,2
5,1,4557,6,8,2
5,1,4305,6,7,2
5,1,4223,4,2,2
5,1,4215,6,8,2
5,1,4212,5,3,2
5,1,4128,6,4,2
5,1,4105,6,6,2
5,1,4032,6,1,2
5,1,4030,6,8,2
2,1,4000,5,7,1
2,1,4670,4,1,1
3,2,4879,6,3,2
3,2,4817,6,1,2
3,2,4680,6,5,2
3,2,4670,6,9,2
3,2,4650,6,6,2
3,2,4350,4,5,2
3,2,4304,6,1,2
3,2,4078,6,3,2
3,2,4560,2,3,1
3,2,4557,6,5,2
3,2,4207,6,4,2
3,2,4184,6,5,2
3,2,4122,6,3,1
3,2,4054,5,3,2
4,2,4870,6,2,2
4,2,4870,6,6,2
4,2,4818,6,6,2
4,2,4746,6,3,2
4,2,4740,6,3,2
4,2,4670,6,9,2
